ID,user_id,user_tag,text
6.82769629803057E+017,2751796116,FXS_Finance_FR,"Dukascopy News (FR) su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 #Finances #Matières premières https://t.co/8GNazxxjyu"""
6.82769733817614E+017,24481831,HaitiNewsNet,"HNN -Haiti News Network - @HaitiNewsNet su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/fKfX52jCFA"""
6.82769811458421E+017,955956284,rachitisme,"Le rachitisme su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/hXP9Whm4QI"""
6.82769981424165E+017,3908234775,,
6.82770620740801E+017,98679589,rassegnastampa,"Rassegna Stampa su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/t40XSuYd10"""
6.82771074749104E+017,540043470,,
6.8277108607787E+017,1538372454,french_Papers,"journaux français su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/sxxCyA84pD #lemonde"""
6.82771092948189E+017,2162896657,Newsekt,"Newsekt su Twitter: ""[Le Monde] Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/2jDg6FXsmr #Newsekt"""
6.82771106218918E+017,1237320691,YDouib,"Yassine Douib su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/7qu3kObJpJ"""
6.82771114137801E+017,2436958382,tuitFrance,"Journal France su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/qk6SKlTWGw #nouvelles #LeMonde"""
6.8277111264462E+017,2814425150,LaPresseFR,"La presse Française® su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/VQKcqS7sgz"""
6.82771119976268E+017,978164348,,
6.82771131208569E+017,166682415,DirectMarseille,"DirectMarseille su Twitter: ""#ALaUne Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/BJ4LbxzQja"""
6.82771134748602E+017,1877161100,SamJazzBlues,"não dê ouvidos aos néscios su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/GOgf5ITGXj"""
6.82771133284798E+017,2976746529,account,
6.82771901186359E+017,83364690,zdig1,"zdig1 su Twitter: ""#news Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/dC2CltC5ls"""
6.82772006052479E+017,1490914789,CyberActualite,"Cyber-Actu su Twitter: ""https://t.co/yiXxzRI0yE LeMonde.fr: Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/diAHIicXrX"""
6.82772432286036E+017,1435760725,willbeluckysoon,"LUMPY AS ALWAYS su Twitter: ""The European Union is based on the Nazi plans published in Berlin in 1942: https://t.co/o5JaVoq6Uf - via:vaseljenskatv #no2eu #brexit #ukip"""
6.82773653054964E+017,296139946,quaiarthur,"arthur quai su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/sFpSw0slwc"""
6.82773709069894E+017,1718837262,escortsfrancefr,"Escorts France su Twitter: ""https://t.co/J8EhWxX8kP Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/sTFngwI1dW"""
6.82774301158674E+017,38632923,tsirangama,"Thierry SIRANGAMA su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/j39OvPgsQo #News"""
6.82774720031228E+017,777687276,,
